,Air temp,RH,Pressure,eCO2,TVOC,VWC,Substrate temp,Visible irr.,SPL (dB)
Air temp,1.0,-0.5481664500815551,-0.07423501430504117,-0.033740752665204536,-0.041446516140609305,0.5166317231069928,0.6398964973694988,0.2035187116676653,0.018188921594353362
RH,-0.5481664500815551,1.0,-0.22286312773444553,-0.2563180386855055,-0.25228276658709287,-0.42856501151395043,-0.12596814155484556,-0.6372818257373019,0.4058324289755571
Pressure,-0.07423501430504117,-0.22286312773444553,1.0,0.4913222556980214,0.48854654630333527,0.03953793394460498,-0.3798589217579153,0.39550039950243276,-0.4649451301607435
eCO2,-0.033740752665204536,-0.2563180386855055,0.4913222556980214,1.0,0.9999723485141535,0.3721007974672712,-0.24959380071029977,0.6636105144929557,-0.7726704993558775
TVOC,-0.041446516140609305,-0.25228276658709287,0.48854654630333527,0.9999723485141535,1.0,0.36834224634734025,-0.24311134277204688,0.6649449843243593,-0.7722291560910108
VWC,0.5166317231069928,-0.42856501151395043,0.03953793394460498,0.3721007974672712,0.36834224634734025,1.0,0.26054204857030955,0.5212039107772242,-0.28342978156945875
Substrate temp,0.6398964973694988,-0.12596814155484556,-0.3798589217579153,-0.24959380071029977,-0.24311134277204688,0.26054204857030955,1.0,-0.060025991032114,0.3511717937081563
Visible irr.,0.2035187116676653,-0.6372818257373019,0.39550039950243276,0.6636105144929557,0.6649449843243593,0.5212039107772242,-0.060025991032114,1.0,-0.5930099195038986
SPL (dB),0.018188921594353362,0.4058324289755571,-0.4649451301607435,-0.7726704993558775,-0.7722291560910108,-0.28342978156945875,0.3511717937081563,-0.5930099195038986,1.0
