timestamp,substrate_temp_c
2026-05-21 00:00:01.514,20.87
2026-05-21 00:00:07.416,20.81
2026-05-21 00:00:13.320,20.87
2026-05-21 00:00:19.231,20.87
2026-05-21 00:00:25.134,20.87
2026-05-21 00:00:31.038,20.87
2026-05-21 00:00:36.942,20.87
2026-05-21 00:00:42.843,20.87
2026-05-21 00:00:49.123,20.87
2026-05-21 00:00:55.031,20.87
2026-05-21 00:01:00.940,20.81
2026-05-21 00:01:06.847,20.87
2026-05-21 00:01:12.756,20.87
2026-05-21 00:01:18.672,20.81
2026-05-21 00:01:24.578,20.87
2026-05-21 00:01:30.485,20.87
2026-05-21 00:01:36.395,20.87
2026-05-21 00:01:42.300,20.87
2026-05-21 00:01:47.794,20.87
2026-05-21 00:01:53.696,20.87
2026-05-21 00:01:59.598,20.81
2026-05-21 00:02:05.498,20.87
2026-05-21 00:02:11.399,20.87
2026-05-21 00:02:17.386,20.87
2026-05-21 00:02:23.289,20.87
2026-05-21 00:02:29.189,20.81
2026-05-21 00:02:35.091,20.87
2026-05-21 00:02:40.995,20.87
2026-05-21 00:02:47.202,20.81
2026-05-21 00:02:53.109,20.87
2026-05-21 00:02:59.013,20.87
2026-05-21 00:03:04.920,20.81
2026-05-21 00:03:10.828,20.81
2026-05-21 00:03:16.795,20.87
2026-05-21 00:03:22.703,20.87
2026-05-21 00:03:28.609,20.87
2026-05-21 00:03:34.518,20.87
2026-05-21 00:03:40.426,20.87
2026-05-21 00:03:46.314,20.87
2026-05-21 00:03:52.223,20.87
2026-05-21 00:03:58.131,20.81
2026-05-21 00:04:04.039,20.87
2026-05-21 00:04:09.946,20.87
2026-05-21 00:04:15.855,20.81
2026-05-21 00:04:21.788,20.87
2026-05-21 00:04:27.698,20.87
2026-05-21 00:04:33.606,20.87
2026-05-21 00:04:39.512,20.87
2026-05-21 00:04:45.418,20.87
2026-05-21 00:04:51.404,20.87
2026-05-21 00:04:57.311,20.87
2026-05-21 00:05:03.222,20.87
2026-05-21 00:05:09.131,20.87
2026-05-21 00:05:15.041,20.87
2026-05-21 00:05:20.932,20.87
2026-05-21 00:05:26.842,20.87
2026-05-21 00:05:32.752,20.81
2026-05-21 00:05:38.661,20.87
2026-05-21 00:05:44.570,20.87
2026-05-21 00:05:50.340,20.87
2026-05-21 00:05:56.245,20.87
2026-05-21 00:06:02.152,20.87
2026-05-21 00:06:08.060,20.87
2026-05-21 00:06:13.968,20.87
2026-05-21 00:06:19.959,20.87
2026-05-21 00:06:25.867,20.87
2026-05-21 00:06:31.773,20.87
2026-05-21 00:06:37.680,20.81
2026-05-21 00:06:43.588,20.87
2026-05-21 00:06:49.439,20.87
2026-05-21 00:06:55.346,20.87
2026-05-21 00:07:01.253,20.87
2026-05-21 00:07:07.161,20.87
2026-05-21 00:07:13.066,20.87
2026-05-21 00:07:18.944,20.87
2026-05-21 00:07:24.851,20.87
2026-05-21 00:07:30.755,20.87
2026-05-21 00:07:36.663,20.87
2026-05-21 00:07:42.570,20.87
2026-05-21 00:07:48.514,20.87
2026-05-21 00:07:54.419,20.87
2026-05-21 00:08:00.326,20.81
2026-05-21 00:08:06.234,20.87
2026-05-21 00:08:12.141,20.87
2026-05-21 00:08:18.066,20.87
2026-05-21 00:08:23.973,20.93
2026-05-21 00:08:29.879,20.87
2026-05-21 00:08:35.786,20.87
2026-05-21 00:08:41.695,20.87
2026-05-21 00:08:47.672,20.87
2026-05-21 00:08:53.581,20.87
2026-05-21 00:08:59.490,20.87
2026-05-21 00:09:05.397,20.87
