timestamp,soil_vwc_percent
2026-05-21 00:00:01.074,74.55
2026-05-21 00:00:06.071,74.48
2026-05-21 00:00:11.067,74.48
2026-05-21 00:00:16.073,74.63
2026-05-21 00:00:21.070,74.55
2026-05-21 00:00:26.065,74.63
2026-05-21 00:00:31.062,74.48
2026-05-21 00:00:36.068,74.48
2026-05-21 00:00:41.064,74.55
2026-05-21 00:00:46.438,74.48
2026-05-21 00:00:51.440,74.48
2026-05-21 00:00:56.440,74.48
2026-05-21 00:01:01.442,74.48
2026-05-21 00:01:06.444,74.48
2026-05-21 00:01:11.445,74.55
2026-05-21 00:01:16.453,74.48
2026-05-21 00:01:21.455,74.48
2026-05-21 00:01:26.456,74.55
2026-05-21 00:01:31.457,74.63
2026-05-21 00:01:36.459,74.55
2026-05-21 00:01:41.460,74.4
2026-05-21 00:01:46.047,74.48
2026-05-21 00:01:51.043,74.48
2026-05-21 00:01:56.039,74.55
2026-05-21 00:02:01.034,74.55
2026-05-21 00:02:06.030,74.55
2026-05-21 00:02:11.026,74.55
2026-05-21 00:02:16.106,74.48
2026-05-21 00:02:21.101,74.63
2026-05-21 00:02:26.098,74.48
2026-05-21 00:02:31.094,74.55
2026-05-21 00:02:36.090,74.55
2026-05-21 00:02:41.086,74.48
2026-05-21 00:02:46.386,74.48
2026-05-21 00:02:51.385,74.63
2026-05-21 00:02:56.385,74.55
2026-05-21 00:03:01.385,74.48
2026-05-21 00:03:06.386,74.48
2026-05-21 00:03:11.385,74.55
2026-05-21 00:03:16.445,74.63
2026-05-21 00:03:21.446,74.76
2026-05-21 00:03:26.446,74.63
2026-05-21 00:03:31.447,74.55
2026-05-21 00:03:36.448,74.55
2026-05-21 00:03:41.449,74.48
2026-05-21 00:03:46.429,74.55
2026-05-21 00:03:51.430,74.55
2026-05-21 00:03:56.430,74.63
2026-05-21 00:04:01.431,74.48
2026-05-21 00:04:06.431,74.63
2026-05-21 00:04:11.432,74.55
2026-05-21 00:04:16.457,74.55
2026-05-21 00:04:21.458,74.55
2026-05-21 00:04:26.460,74.48
2026-05-21 00:04:31.460,74.48
2026-05-21 00:04:36.461,74.48
2026-05-21 00:04:41.462,74.63
2026-05-21 00:04:46.538,74.55
2026-05-21 00:04:51.541,74.55
2026-05-21 00:04:56.543,74.55
2026-05-21 00:05:01.544,74.55
2026-05-21 00:05:06.547,74.48
2026-05-21 00:05:11.549,74.55
2026-05-21 00:05:16.534,74.63
2026-05-21 00:05:21.536,74.48
2026-05-21 00:05:26.538,74.48
2026-05-21 00:05:31.541,74.48
2026-05-21 00:05:36.542,74.55
2026-05-21 00:05:41.544,74.48
2026-05-21 00:05:46.407,74.48
2026-05-21 00:05:51.406,74.48
2026-05-21 00:05:56.406,74.63
2026-05-21 00:06:01.407,74.76
2026-05-21 00:06:06.406,74.55
2026-05-21 00:06:11.406,74.48
2026-05-21 00:06:16.489,74.48
2026-05-21 00:06:21.491,74.55
2026-05-21 00:06:26.491,74.48
2026-05-21 00:06:31.492,74.55
2026-05-21 00:06:36.494,74.76
2026-05-21 00:06:41.494,74.55
2026-05-21 00:06:46.437,74.55
2026-05-21 00:06:51.438,74.48
2026-05-21 00:06:56.437,74.76
2026-05-21 00:07:01.437,74.48
2026-05-21 00:07:06.438,74.55
2026-05-21 00:07:11.437,74.55
2026-05-21 00:07:16.409,74.48
2026-05-21 00:07:21.409,74.55
2026-05-21 00:07:26.407,74.48
2026-05-21 00:07:31.407,74.48
2026-05-21 00:07:36.407,74.63
2026-05-21 00:07:41.406,74.48
2026-05-21 00:07:46.443,74.63
2026-05-21 00:07:51.443,74.55
2026-05-21 00:07:56.443,74.48
2026-05-21 00:08:01.443,74.48
2026-05-21 00:08:06.444,74.55
2026-05-21 00:08:11.443,74.63
2026-05-21 00:08:16.460,74.48
2026-05-21 00:08:21.461,74.48
2026-05-21 00:08:26.461,74.48
2026-05-21 00:08:31.461,74.76
2026-05-21 00:08:36.461,74.48
2026-05-21 00:08:41.462,74.55
2026-05-21 00:08:46.531,74.63
2026-05-21 00:08:51.533,74.76
2026-05-21 00:08:56.535,74.48
2026-05-21 00:09:01.535,74.55
2026-05-21 00:09:06.537,74.63
2026-05-21 00:09:11.539,74.48
2026-05-21 00:09:16.430,74.48
2026-05-21 00:09:21.429,74.55
2026-05-21 00:09:26.429,74.63
2026-05-21 00:09:31.430,74.55
2026-05-21 00:09:36.429,74.55
2026-05-21 00:09:41.429,74.63
2026-05-21 00:09:46.544,74.55
2026-05-21 00:09:51.545,74.63
2026-05-21 00:09:56.547,74.55
2026-05-21 00:10:01.549,74.55
2026-05-21 00:10:06.550,74.48
2026-05-21 00:10:11.551,74.55
2026-05-21 00:10:16.551,74.48
2026-05-21 00:10:21.553,74.63
2026-05-21 00:10:26.554,74.55
2026-05-21 00:10:31.555,74.63
2026-05-21 00:10:36.557,74.48
2026-05-21 00:10:41.559,74.48
2026-05-21 00:10:46.561,74.48
2026-05-21 00:10:51.562,74.55
2026-05-21 00:10:56.564,74.48
2026-05-21 00:11:01.565,74.48
2026-05-21 00:11:06.567,74.63
2026-05-21 00:11:11.568,74.76
2026-05-21 00:11:16.509,74.55
2026-05-21 00:11:21.510,74.63
2026-05-21 00:11:26.511,74.48
2026-05-21 00:11:31.511,74.48
2026-05-21 00:11:36.512,74.84
2026-05-21 00:11:41.513,74.55
2026-05-21 00:11:46.456,74.55
2026-05-21 00:11:51.456,74.55
2026-05-21 00:11:56.456,74.55
2026-05-21 00:12:01.455,74.48
2026-05-21 00:12:06.455,74.55
2026-05-21 00:12:11.455,74.55
2026-05-21 00:12:16.488,74.55
2026-05-21 00:12:21.488,74.48
2026-05-21 00:12:26.488,74.55
2026-05-21 00:12:31.489,74.55
2026-05-21 00:12:36.489,74.63
2026-05-21 00:12:41.489,74.55
2026-05-21 00:12:46.585,74.63
2026-05-21 00:12:51.587,74.55
2026-05-21 00:12:56.588,74.63
2026-05-21 00:13:01.590,74.63
2026-05-21 00:13:06.592,74.76
2026-05-21 00:13:11.593,74.55
2026-05-21 00:13:16.484,74.55
2026-05-21 00:13:21.485,74.55
2026-05-21 00:13:26.484,74.55
2026-05-21 00:13:31.485,74.55
2026-05-21 00:13:36.485,74.63
2026-05-21 00:13:41.485,74.55
2026-05-21 00:13:46.574,74.63
