time,bme_temperature_c,bme_humidity_pct,bme_pressure_hpa
2026-05-25T22:00:00.9920000,23.63,80.52,101.918
2026-05-25T22:00:02.0320000,23.63,80.53,101.918
2026-05-25T22:00:03.0730000,23.63,80.55,101.918
2026-05-25T22:00:04.1140000,23.63,80.59,101.917
2026-05-25T22:00:05.1540000,23.63,80.66,101.917
2026-05-25T22:00:06.2060000,23.63,80.63,101.917
2026-05-25T22:00:07.2460000,23.63,80.62,101.917
2026-05-25T22:00:08.2870000,23.63,80.64,101.916
2026-05-25T22:00:09.3280000,23.62,80.61,101.916
2026-05-25T22:00:10.3690000,23.62,80.68,101.916
2026-05-25T22:00:11.4650000,23.63,80.71,101.916
2026-05-25T22:00:12.4540000,23.63,80.76,101.915
2026-05-25T22:00:13.4950000,23.63,80.78,101.915
2026-05-25T22:00:14.5460000,23.63,80.8,101.916
2026-05-25T22:00:15.5870000,23.63,80.82,101.916
2026-05-25T22:00:16.6280000,23.63,80.83,101.916
2026-05-25T22:00:17.6680000,23.63,80.84,101.916
2026-05-25T22:00:18.7090000,23.63,80.85,101.916
2026-05-25T22:00:19.7500000,23.63,80.87,101.916
2026-05-25T22:00:20.8010000,23.62,80.91,101.916
2026-05-25T22:00:21.8420000,23.63,80.94,101.916
2026-05-25T22:00:22.8830000,23.63,80.97,101.916
2026-05-25T22:00:23.9240000,23.63,80.96,101.916
2026-05-25T22:00:24.9640000,23.63,80.98,101.916
2026-05-25T22:00:26.0080000,23.62,80.97,101.915
2026-05-25T22:00:27.0490000,23.62,80.96,101.915
2026-05-25T22:00:28.1000000,23.62,80.97,101.915
2026-05-25T22:00:29.1410000,23.62,80.97,101.915
2026-05-25T22:00:30.1820000,23.62,81,101.915
2026-05-25T22:00:31.2230000,23.62,81.01,101.917
2026-05-25T22:00:32.2630000,23.62,81.04,101.917
2026-05-25T22:00:33.3040000,23.62,81.08,101.918
2026-05-25T22:00:34.3550000,23.62,81.05,101.917
2026-05-25T22:00:35.3960000,23.62,81.01,101.917
2026-05-25T22:00:36.4370000,23.62,80.99,101.918
2026-05-25T22:00:37.4780000,23.62,81.01,101.918
2026-05-25T22:00:38.5190000,23.62,80.97,101.918
2026-05-25T22:00:39.5840000,23.62,80.99,101.918
2026-05-25T22:00:40.6040000,23.62,81,101.917
