time,ds18b20_temp_c
2026-05-23T01:00:00.4340000,23.0625
2026-05-23T01:00:06.3400000,23.0625
2026-05-23T01:00:12.2440000,23.0625
2026-05-23T01:00:18.1500000,23.0625
2026-05-23T01:00:24.0540000,23.0625
2026-05-23T01:00:29.9590000,23.0625
2026-05-23T01:00:35.8650000,23
2026-05-23T01:00:41.7700000,23.0625
2026-05-23T01:00:47.6750000,23.0625
2026-05-23T01:00:53.5810000,23.0625
2026-05-23T01:00:59.4870000,23.0625
2026-05-23T01:01:05.3920000,23.0625
2026-05-23T01:01:11.2950000,23.0625
2026-05-23T01:01:17.1990000,23.0625
2026-05-23T01:01:23.1030000,23.0625
2026-05-23T01:01:29.0090000,23.0625
2026-05-23T01:01:34.9150000,23.0625
2026-05-23T01:01:40.8210000,23.0625
2026-05-23T01:01:46.7270000,23.0625
2026-05-23T01:01:52.6300000,23.0625
2026-05-23T01:01:58.5340000,23.0625
2026-05-23T01:02:04.4380000,23.0625
2026-05-23T01:02:10.3420000,23.0625
2026-05-23T01:02:16.2460000,23.125
2026-05-23T01:02:22.1490000,23.0625
2026-05-23T01:02:28.0530000,23.0625
2026-05-23T01:02:33.9570000,23.125
2026-05-23T01:02:39.8610000,23.0625
2026-05-23T01:02:45.7650000,23.0625
2026-05-23T01:02:51.6700000,23.0625
2026-05-23T01:02:57.5760000,23.125
2026-05-23T01:03:03.4830000,23.0625
2026-05-23T01:03:09.3890000,23.125
2026-05-23T01:03:15.2950000,23.0625
2026-05-23T01:03:21.2010000,23.0625
2026-05-23T01:03:27.1040000,23.0625
2026-05-23T01:03:33.0090000,23.125
2026-05-23T01:03:38.9120000,23.0625
2026-05-23T01:03:44.8180000,23.0625
2026-05-23T01:03:50.7240000,23.0625
2026-05-23T01:03:56.6310000,23.0625
2026-05-23T01:04:02.5370000,23.0625
2026-05-23T01:04:08.4400000,23.125
2026-05-23T01:04:14.3440000,23.0625
2026-05-23T01:04:20.2500000,23.0625
2026-05-23T01:04:26.1540000,23.0625
2026-05-23T01:04:32.0580000,23.0625
2026-05-23T01:04:37.9610000,23.0625
2026-05-23T01:04:43.8670000,23.0625
2026-05-23T01:04:49.7730000,23.0625
2026-05-23T01:04:55.6800000,23.0625
2026-05-23T01:05:01.5860000,23.0625
2026-05-23T01:05:07.4890000,23.0625
2026-05-23T01:05:13.3930000,23.0625
2026-05-23T01:05:19.2990000,23
2026-05-23T01:05:25.2060000,23.0625
2026-05-23T01:05:31.1090000,23
2026-05-23T01:05:37.0130000,23
2026-05-23T01:05:42.9160000,23
2026-05-23T01:05:48.8200000,23.0625
2026-05-23T01:05:54.7250000,23
2026-05-23T01:06:00.6280000,23.0625
2026-05-23T01:06:06.5340000,23.0625
2026-05-23T01:06:12.4400000,23
2026-05-23T01:06:18.3460000,23
2026-05-23T01:06:24.2510000,23
2026-05-23T01:06:30.1540000,23.0625
2026-05-23T01:06:36.0580000,23
2026-05-23T01:06:41.9620000,23.0625
2026-05-23T01:06:47.8680000,23
2026-05-23T01:06:53.7720000,23
2026-05-23T01:06:59.6760000,23
2026-05-23T01:07:05.5790000,23
2026-05-23T01:07:11.4830000,23.0625
2026-05-23T01:07:17.3880000,23
2026-05-23T01:07:23.2910000,23
2026-05-23T01:07:29.1950000,23
2026-05-23T01:07:35.0990000,23.0625
2026-05-23T01:07:41.0020000,23
2026-05-23T01:07:46.9070000,23
2026-05-23T01:07:52.8100000,23
2026-05-23T01:07:58.7140000,23
2026-05-23T01:08:04.6180000,23
2026-05-23T01:08:10.5210000,23
2026-05-23T01:08:16.4260000,23.0625
2026-05-23T01:08:22.3300000,23
2026-05-23T01:08:28.2330000,23
2026-05-23T01:08:34.1370000,23
2026-05-23T01:08:40.0410000,23
2026-05-23T01:08:45.9450000,23
2026-05-23T01:08:51.8490000,23
2026-05-23T01:08:57.7520000,23
2026-05-23T01:09:03.6560000,23
2026-05-23T01:09:09.5600000,23
2026-05-23T01:09:15.4650000,23
2026-05-23T01:09:21.3680000,23
2026-05-23T01:09:27.2720000,23
2026-05-23T01:09:33.1750000,23
2026-05-23T01:09:39.0790000,23
2026-05-23T01:09:44.9840000,23
2026-05-23T01:09:50.8890000,23
2026-05-23T01:09:56.7930000,23
2026-05-23T01:10:02.6960000,23
2026-05-23T01:10:08.6010000,23
2026-05-23T01:10:14.5050000,23
2026-05-23T01:10:20.4090000,23
2026-05-23T01:10:26.3120000,23
2026-05-23T01:10:32.2160000,23
2026-05-23T01:10:38.1210000,23
2026-05-23T01:10:44.0240000,23
2026-05-23T01:10:49.9300000,22.9375
2026-05-23T01:10:55.8360000,22.9375
2026-05-23T01:11:01.7390000,23
2026-05-23T01:11:07.6460000,22.9375
2026-05-23T01:11:13.5500000,23
2026-05-23T01:11:19.4560000,23
2026-05-23T01:11:25.3590000,22.9375
2026-05-23T01:11:31.2630000,23
2026-05-23T01:11:37.1690000,22.9375
2026-05-23T01:11:43.0750000,23
2026-05-23T01:11:48.9830000,22.9375
2026-05-23T01:11:54.8870000,22.9375
2026-05-23T01:12:00.7900000,22.9375
