Time,09C00 Aranet4  Temperature (°C) [09C00],09C05 Aranet4  Temperature (°C) [09C05],09C09 Aranet4  Temperature (°C) [09C09],09C0F Aranet4  Temperature (°C) [09C0F],09C00 Aranet4  Humidity (%) [09C00],09C05 Aranet4  Humidity (%) [09C05],09C09 Aranet4  Humidity (%) [09C09],09C0F Aranet4  Humidity (%) [09C0F],09C00 Aranet4  Pressure (hPa) [09C00],09C05 Aranet4  Pressure (hPa) [09C05],09C09 Aranet4  Pressure (hPa) [09C09],09C0F Aranet4  Pressure (hPa) [09C0F],09C00 Aranet4  CO₂ (ppm) [09C00],09C05 Aranet4  CO₂ (ppm) [09C05],09C09 Aranet4  CO₂ (ppm) [09C09],09C0F Aranet4  CO₂ (ppm) [09C0F],0D697 PM  PM1 (µg/m³) [0D697],0D699 PM  PM1 (µg/m³) [0D699],0D6A0 PM  PM1 (µg/m³) [0D6A0],0D6A3 PM  PM1 (µg/m³) [0D6A3],0D697 PM  PM2.5 (µg/m³) [0D697],0D699 PM  PM2.5 (µg/m³) [0D699],0D6A0 PM  PM2.5 (µg/m³) [0D6A0],0D6A3 PM  PM2.5 (µg/m³) [0D6A3],0D697 PM  PM10 (µg/m³) [0D697],0D699 PM  PM10 (µg/m³) [0D699],0D6A0 PM  PM10 (µg/m³) [0D6A0],0D6A3 PM  PM10 (µg/m³) [0D6A3],0195C Weight  Weight (kg) [0195C],01960 Weight  Weight (kg) [01960],01966 Weight  Weight (kg) [01966],019A0 Weight  Weight (kg) [019A0]
2026-05-22 00:04:17,22.80,,,,53.0,,,,1019,,,,479,,,,,,,,,,,,,,,,,,,
2026-05-22 00:04:20,,,23.40,,,,56.0,,,,1018,,,,496,,,,,,,,,,,,,,,,,
2026-05-22 00:04:27,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:04:34,,22.70,,,,59.0,,,,1019,,,,450,,,,,,,,,,,,,,,,,,
2026-05-22 00:04:42,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:04:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:04:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:04:58,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:05:00,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:05:04,,,,21.95,,,,58.0,,,,1019,,,,429,,,,,,,,,,,,,,,,
2026-05-22 00:05:08,,,,,,,,,,,,,,,,,0,,,,0,,,,1,,,,,,,
2026-05-22 00:05:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:05:16,22.80,,,,53.0,,,,1019,,,,466,,,,,,,,,,,,,,,,,,,
2026-05-22 00:05:20,,,23.40,,,,56.0,,,,1018,,,,494,,,,,,,,,,,,,,,,,
2026-05-22 00:05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:05:33,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:05:34,,22.70,,,,59.0,,,,1019,,,,449,,,,,,,,,,,,,,,,,,
2026-05-22 00:05:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,
2026-05-22 00:05:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:06:02,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:06:04,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,1,,,,
2026-05-22 00:06:05,,,,21.95,,,,58.0,,,,1019,,,,425,,,,,,,,,,,,,,,,
2026-05-22 00:06:11,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:06:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:06:18,22.80,,23.40,,53.0,,56.0,,1019,,1018,,469,,484,,,,,,,,,,,,,,,,,
2026-05-22 00:06:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:06:34,,22.65,,,,59.0,,,,1019,,,,464,,,,,,,,,,,,,,,,,,
2026-05-22 00:06:35,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:06:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,
2026-05-22 00:06:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:07:03,,,,21.95,,,,58.0,,,,1019,,,,445,,,,,,,,,,,,,,,,
2026-05-22 00:07:04,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:07:06,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:07:11,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:07:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:07:17,22.80,,,,53.0,,,,1019,,,,464,,,,,,,,,,,,,,,,,,,
