time,bme_temperature_c,bme_humidity_pct,bme_pressure_hpa
2026-05-23T01:00:00.4850000,23.01,88.36,102.073
2026-05-23T01:00:01.5260000,23.01,88.34,102.073
2026-05-23T01:00:02.5660000,23.01,88.35,102.072
2026-05-23T01:00:03.6070000,23.01,88.35,102.072
2026-05-23T01:00:04.6580000,23.01,88.35,102.072
2026-05-23T01:00:05.6990000,23.01,88.35,102.071
2026-05-23T01:00:06.7400000,23.02,88.33,102.071
2026-05-23T01:00:07.7810000,23.01,88.36,102.07
2026-05-23T01:00:08.8220000,23.01,88.3,102.07
2026-05-23T01:00:09.8620000,23.01,88.3,102.071
2026-05-23T01:00:10.9030000,23.01,88.29,102.071
2026-05-23T01:00:11.9440000,23.02,88.3,102.072
2026-05-23T01:00:12.9850000,23.01,88.29,102.071
2026-05-23T01:00:14.0530000,23.01,88.28,102.07
2026-05-23T01:00:15.0730000,23.01,88.28,102.07
2026-05-23T01:00:16.1140000,23.01,88.29,102.07
2026-05-23T01:00:17.1550000,23.01,88.28,102.07
2026-05-23T01:00:18.1950000,23.01,88.25,102.07
2026-05-23T01:00:19.2470000,23.01,88.25,102.07
2026-05-23T01:00:20.2870000,23.01,88.26,102.071
2026-05-23T01:00:21.3280000,23.01,88.24,102.071
2026-05-23T01:00:22.3690000,23.01,88.24,102.07
2026-05-23T01:00:23.4100000,23.01,88.25,102.071
2026-05-23T01:00:24.4500000,23.01,88.24,102.071
2026-05-23T01:00:25.4910000,23.01,88.2,102.071
2026-05-23T01:00:26.5320000,23.01,88.21,102.071
2026-05-23T01:00:27.6180000,23.01,88.22,102.072
2026-05-23T01:00:28.6170000,23.01,88.23,102.072
2026-05-23T01:00:29.6680000,23.01,88.21,102.072
2026-05-23T01:00:30.7090000,23.01,88.21,102.071
2026-05-23T01:00:31.7510000,23.01,88.2,102.072
2026-05-23T01:00:32.7910000,23.01,88.2,102.072
2026-05-23T01:00:33.8320000,23.01,88.19,102.071
2026-05-23T01:00:34.8730000,23.01,88.18,102.071
2026-05-23T01:00:35.9130000,23.01,88.19,102.071
2026-05-23T01:00:36.9540000,23.01,88.14,102.071
2026-05-23T01:00:38.0050000,23.01,88.16,102.071
2026-05-23T01:00:39.0460000,23.01,88.18,102.071
2026-05-23T01:00:40.0870000,23.01,88.12,102.071
2026-05-23T01:00:41.1830000,23.01,88.16,102.072
2026-05-23T01:00:42.1720000,23.01,88.13,102.072
2026-05-23T01:00:43.2120000,23.01,88.14,102.073
2026-05-23T01:00:44.2530000,23.01,88.14,102.073
2026-05-23T01:00:45.2940000,23.01,88.14,102.073
2026-05-23T01:00:46.3350000,23.01,88.12,102.072
2026-05-23T01:00:47.3750000,23.01,88.12,102.073
2026-05-23T01:00:48.4270000,23.01,88.12,102.073
2026-05-23T01:00:49.4680000,23.01,88.11,102.074
2026-05-23T01:00:50.5080000,23.02,88.08,102.075
2026-05-23T01:00:52.5900000,23.02,88.11,102.074
2026-05-23T01:00:53.6310000,23.02,88.12,102.074
2026-05-23T01:00:54.6710000,23.02,88.09,102.075
2026-05-23T01:00:55.7190000,23.02,88.12,102.075
2026-05-23T01:00:56.7600000,23.02,88.12,102.075
2026-05-23T01:00:57.8000000,23.02,88.11,102.076
2026-05-23T01:00:58.8410000,23.02,88.13,102.075
2026-05-23T01:00:59.8820000,23.02,88.11,102.075
2026-05-23T01:01:00.9230000,23.02,88.11,102.075
2026-05-23T01:01:01.9740000,23.02,88.09,102.075
2026-05-23T01:01:03.0150000,23.02,88.08,102.074
2026-05-23T01:01:04.0550000,23.03,88.09,102.075
2026-05-23T01:01:05.0960000,23.03,88.09,102.075
2026-05-23T01:01:06.1370000,23.03,88.07,102.074
2026-05-23T01:01:07.1780000,23.02,88.07,102.074
2026-05-23T01:01:08.2180000,23.03,88.1,102.074
2026-05-23T01:01:09.2870000,23.03,88.11,102.074
2026-05-23T01:01:10.3070000,23.03,88.08,102.075
2026-05-23T01:01:11.3480000,23.03,88.06,102.075
2026-05-23T01:01:12.3880000,23.03,88.04,102.075
2026-05-23T01:01:13.4290000,23.03,88.04,102.075
2026-05-23T01:01:14.4700000,23.03,88.03,102.075
2026-05-23T01:01:15.5210000,23.02,88.02,102.075
2026-05-23T01:01:16.5620000,23.02,88.05,102.074
