time,ds18b20_temp_c
2026-05-25T11:59:35.2390000,22.75
2026-05-25T11:59:41.1440000,22.75
2026-05-25T11:59:47.0490000,22.75
2026-05-25T11:59:52.9520000,22.75
2026-05-25T11:59:58.8560000,22.75
2026-05-25T12:00:04.7620000,22.75
2026-05-25T12:00:10.6680000,22.75
2026-05-25T12:00:16.5750000,22.75
2026-05-25T12:00:22.4780000,22.75
2026-05-25T12:00:28.3820000,22.75
2026-05-25T12:00:34.2850000,22.75
2026-05-25T12:00:40.1910000,22.75
2026-05-25T12:00:46.0950000,22.75
2026-05-25T12:00:52.0020000,22.75
2026-05-25T12:00:57.9070000,22.75
2026-05-25T12:01:03.8110000,22.75
2026-05-25T12:01:09.7140000,22.75
2026-05-25T12:01:15.6190000,22.75
2026-05-25T12:01:21.5230000,22.75
2026-05-25T12:01:27.4290000,22.75
2026-05-25T12:01:33.3340000,22.75
2026-05-25T12:01:39.2400000,22.75
2026-05-25T12:01:45.1440000,22.75
2026-05-25T12:01:51.0500000,22.75
2026-05-25T12:01:56.9560000,22.75
2026-05-25T12:02:02.8600000,22.6875
2026-05-25T12:02:08.7630000,22.6875
2026-05-25T12:02:14.6700000,22.75
2026-05-25T12:02:20.5760000,22.75
2026-05-25T12:02:26.4810000,22.75
2026-05-25T12:02:32.3850000,22.75
2026-05-25T12:02:38.2920000,22.75
2026-05-25T12:02:44.1970000,22.75
2026-05-25T12:02:50.1030000,22.8125
2026-05-25T12:02:56.0090000,22.75
2026-05-25T12:03:01.9150000,22.75
2026-05-25T12:03:07.8200000,22.75
2026-05-25T12:03:13.7250000,22.75
2026-05-25T12:03:19.6290000,22.75
2026-05-25T12:03:25.5320000,22.75
2026-05-25T12:03:31.4360000,22.75
2026-05-25T12:03:37.3410000,22.75
2026-05-25T12:03:43.2460000,22.75
2026-05-25T12:03:49.1520000,22.75
2026-05-25T12:03:55.0580000,22.75
2026-05-25T12:04:00.9640000,22.8125
2026-05-25T12:04:06.8710000,22.75
2026-05-25T12:04:12.7770000,22.8125
2026-05-25T12:04:18.6800000,22.75
2026-05-25T12:04:24.5840000,22.75
2026-05-25T12:04:30.4900000,22.75
2026-05-25T12:04:36.3970000,22.75
2026-05-25T12:04:42.3030000,22.75
2026-05-25T12:04:48.2080000,22.75
2026-05-25T12:04:54.1160000,22.75
2026-05-25T12:05:00.0210000,22.75
2026-05-25T12:05:05.9260000,22.75
2026-05-25T12:05:11.8300000,22.75
2026-05-25T12:05:17.7330000,22.75
2026-05-25T12:05:23.6370000,22.75
2026-05-25T12:05:29.5420000,22.75
2026-05-25T12:05:35.4450000,22.75
2026-05-25T12:05:41.3510000,22.75
2026-05-25T12:05:47.2550000,22.75
2026-05-25T12:05:53.1580000,22.75
2026-05-25T12:05:59.0630000,22.75
2026-05-25T12:06:04.9660000,22.75
2026-05-25T12:06:10.8700000,22.75
2026-05-25T12:06:16.7740000,22.75
2026-05-25T12:06:22.6800000,22.75
2026-05-25T12:06:28.5870000,22.75
2026-05-25T12:06:34.4920000,22.75
2026-05-25T12:06:40.3960000,22.75
2026-05-25T12:06:46.3020000,22.8125
2026-05-25T12:06:52.2080000,22.75
2026-05-25T12:06:58.1150000,22.75
2026-05-25T12:07:04.0180000,22.75
2026-05-25T12:07:09.9220000,22.75
2026-05-25T12:07:15.8250000,22.8125
2026-05-25T12:07:21.7310000,22.8125
2026-05-25T12:07:27.6380000,22.75
2026-05-25T12:07:33.5420000,22.75
2026-05-25T12:07:39.4450000,22.75
2026-05-25T12:07:45.3490000,22.75
2026-05-25T12:07:51.2530000,22.75
2026-05-25T12:07:57.1570000,22.8125
2026-05-25T12:08:03.0610000,22.75
2026-05-25T12:08:08.9640000,22.8125
2026-05-25T12:08:14.8680000,22.8125
2026-05-25T12:08:20.7740000,22.75
2026-05-25T12:08:26.6810000,22.75
2026-05-25T12:08:32.5870000,22.8125
2026-05-25T12:08:38.4900000,22.75
2026-05-25T12:08:44.3940000,22.75
2026-05-25T12:08:50.2990000,22.8125
2026-05-25T12:08:56.2020000,22.75
2026-05-25T12:09:02.1060000,22.75
2026-05-25T12:09:08.0120000,22.8125
2026-05-25T12:09:13.9180000,22.8125
2026-05-25T12:09:19.8250000,22.75
2026-05-25T12:09:25.7300000,22.75
2026-05-25T12:09:31.6360000,22.75
2026-05-25T12:09:37.5420000,22.75
2026-05-25T12:09:43.4480000,22.75
2026-05-25T12:09:49.3550000,22.75
2026-05-25T12:09:55.2580000,22.75
2026-05-25T12:10:01.1620000,22.75
2026-05-25T12:10:07.0680000,22.75
2026-05-25T12:10:12.9740000,22.75
2026-05-25T12:10:18.8780000,22.8125
2026-05-25T12:10:24.7840000,22.75
2026-05-25T12:10:30.6880000,22.75
2026-05-25T12:10:36.5910000,22.75
2026-05-25T12:10:42.4950000,22.75
2026-05-25T12:10:48.4000000,22.8125
2026-05-25T12:10:54.3050000,22.75
2026-05-25T12:11:00.2110000,22.75
2026-05-25T12:11:06.1170000,22.75
2026-05-25T12:11:12.0210000,22.75
2026-05-25T12:11:17.9280000,22.75
2026-05-25T12:11:23.8330000,22.75
2026-05-25T12:11:29.7370000,22.75
2026-05-25T12:11:35.6410000,22.75
2026-05-25T12:11:41.5450000,22.75
2026-05-25T12:11:47.4490000,22.75
2026-05-25T12:11:53.3530000,22.75
2026-05-25T12:11:59.2560000,22.75
2026-05-25T12:12:05.1600000,22.75
2026-05-25T12:12:11.0650000,22.75
2026-05-25T12:12:16.9700000,22.75
2026-05-25T12:12:22.8760000,22.75
2026-05-25T12:12:28.7820000,22.75
2026-05-25T12:12:34.6850000,22.75
2026-05-25T12:12:40.5900000,22.75
2026-05-25T12:12:46.4930000,22.75
2026-05-25T12:12:52.3990000,22.75
2026-05-25T12:12:58.3050000,22.75
2026-05-25T12:13:04.2090000,22.75
2026-05-25T12:13:10.1160000,22.75
2026-05-25T12:13:16.0210000,22.75
2026-05-25T12:13:21.9250000,22.75
2026-05-25T12:13:27.8310000,22.75
2026-05-25T12:13:33.7370000,22.75
2026-05-25T12:13:39.6410000,22.75
2026-05-25T12:13:45.5450000,22.75
2026-05-25T12:13:51.4490000,22.75
2026-05-25T12:13:57.3540000,22.75
2026-05-25T12:14:03.2600000,22.8125
2026-05-25T12:14:09.1670000,22.75
2026-05-25T12:14:15.0700000,22.75
2026-05-25T12:14:20.9760000,22.75
2026-05-25T12:14:26.8800000,22.75
2026-05-25T12:14:32.7870000,22.75
2026-05-25T12:14:38.6900000,22.75
2026-05-25T12:14:44.5940000,22.75
2026-05-25T12:14:50.4980000,22.75
2026-05-25T12:14:56.4010000,22.75
2026-05-25T12:15:02.3060000,22.75
2026-05-25T12:15:08.2110000,22.75
2026-05-25T12:15:14.1170000,22.75
2026-05-25T12:15:20.0230000,22.75
2026-05-25T12:15:25.9290000,22.75
2026-05-25T12:15:31.8340000,22.75
2026-05-25T12:15:37.7370000,22.75
2026-05-25T12:15:43.6410000,22.75
2026-05-25T12:15:49.5450000,22.75
2026-05-25T12:15:55.4480000,22.75
2026-05-25T12:16:01.3550000,22.75
2026-05-25T12:16:07.2610000,22.75
2026-05-25T12:16:13.1670000,22.8125
2026-05-25T12:16:19.0730000,22.75
2026-05-25T12:16:24.9760000,22.75
2026-05-25T12:16:30.8810000,22.75
2026-05-25T12:16:36.7850000,22.75
2026-05-25T12:16:42.6910000,22.75
2026-05-25T12:16:48.5970000,22.75
2026-05-25T12:16:54.5020000,22.75
2026-05-25T12:17:00.4070000,22.75
2026-05-25T12:17:06.3110000,22.75
2026-05-25T12:17:12.2140000,22.75
2026-05-25T12:17:18.1180000,22.8125
2026-05-25T12:17:24.0230000,22.75
2026-05-25T12:17:29.9260000,22.75
2026-05-25T12:17:35.8300000,22.75
2026-05-25T12:17:41.7350000,22.75
2026-05-25T12:17:47.6390000,22.75
2026-05-25T12:17:53.5460000,22.75
2026-05-25T12:17:59.4520000,22.75
2026-05-25T12:18:05.3580000,22.75
2026-05-25T12:18:11.2610000,22.75
2026-05-25T12:18:17.1670000,22.75
2026-05-25T12:18:23.0740000,22.75
2026-05-25T12:18:28.9800000,22.75
2026-05-25T12:18:34.8860000,22.75
2026-05-25T12:18:40.7890000,22.75
2026-05-25T12:18:46.6930000,22.75
2026-05-25T12:18:52.5980000,22.75
2026-05-25T12:18:58.5040000,22.75
2026-05-25T12:19:04.4090000,22.8125
2026-05-25T12:19:10.3150000,22.75
2026-05-25T12:19:16.2210000,22.75
2026-05-25T12:19:22.1250000,22.75
2026-05-25T12:19:28.0290000,22.75
2026-05-25T12:19:33.9350000,22.75
2026-05-25T12:19:39.8380000,22.75
2026-05-25T12:19:45.7420000,22.75
2026-05-25T12:19:51.6470000,22.75
2026-05-25T12:19:57.5500000,22.75
2026-05-25T12:20:03.4540000,22.75
2026-05-25T12:20:09.3580000,22.75
2026-05-25T12:20:15.2620000,22.6875
2026-05-25T12:20:21.1680000,22.75
2026-05-25T12:20:27.0740000,22.75
2026-05-25T12:20:32.9780000,22.75
2026-05-25T12:20:38.8840000,22.75
2026-05-25T12:20:44.7900000,22.75
2026-05-25T12:20:50.6950000,22.75
2026-05-25T12:20:56.5990000,22.75
2026-05-25T12:21:02.5020000,22.75
2026-05-25T12:21:08.4060000,22.75
2026-05-25T12:21:14.3130000,22.75
2026-05-25T12:21:20.2190000,22.75
2026-05-25T12:21:26.1220000,22.75
2026-05-25T12:21:32.0260000,22.6875
2026-05-25T12:21:37.9300000,22.75
2026-05-25T12:21:43.8370000,22.75
2026-05-25T12:21:49.7430000,22.75
2026-05-25T12:21:55.6480000,22.75
2026-05-25T12:22:01.5520000,22.75
2026-05-25T12:22:07.4550000,22.75
2026-05-25T12:22:13.3600000,22.75
2026-05-25T12:22:19.2640000,22.75
2026-05-25T12:22:25.1670000,22.75
2026-05-25T12:22:31.0730000,22.75
2026-05-25T12:22:36.9790000,22.6875
2026-05-25T12:22:42.8860000,22.6875
2026-05-25T12:22:48.7920000,22.75
2026-05-25T12:22:54.7000000,22.75
2026-05-25T12:23:00.6050000,22.6875
2026-05-25T12:23:06.5090000,22.75
2026-05-25T12:23:12.4160000,22.75
2026-05-25T12:23:18.3190000,22.6875
2026-05-25T12:23:24.2230000,22.6875
2026-05-25T12:23:30.1270000,22.75
2026-05-25T12:23:36.0310000,22.75
2026-05-25T12:23:41.9350000,22.75
