pc_iso_gw,pc_iso_node,gw_utc_sec,gw_utc_ms,node_utc_sec,node_utc_ms,utc_match,latency_ms,node_local_ms,drift_ppm
2026-06-01T10:10:59.321696+00:00,2026-06-01T10:10:59.380988+00:00,1780308658,381,1780308658,381,True,59,1468411,-1
2026-06-01T10:11:29.333331+00:00,2026-06-01T10:11:29.380638+00:00,1780308688,393,1780308688,393,True,47,1498411,-18
2026-06-01T10:11:59.346003+00:00,2026-06-01T10:11:59.380209+00:00,1780308718,401,1780308718,401,True,34,1528411,-35
2026-06-01T10:12:29.355558+00:00,2026-06-01T10:12:29.379791+00:00,1780308748,411,1780308748,411,True,24,1558411,33
2026-06-01T10:12:59.362308+00:00,2026-06-01T10:12:59.379442+00:00,1780308778,423,1780308778,423,True,17,1588411,22
2026-06-01T10:13:29.373722+00:00,2026-06-01T10:13:29.428961+00:00,1780308808,435,1780308808,435,True,55,1618460,7
2026-06-01T10:13:59.389962+00:00,2026-06-01T10:13:59.429427+00:00,1780308838,453,1780308838,453,True,40,1648460,-20
2026-06-01T10:14:29.396900+00:00,2026-06-01T10:14:29.478995+00:00,1780308868,461,1780308868,461,True,82,1678510,29
2026-06-01T10:14:59.410650+00:00,2026-06-01T10:14:59.428692+00:00,1780308898,473,1780308898,473,True,18,1708460,19
2026-06-01T10:15:29.420353+00:00,2026-06-01T10:15:29.478171+00:00,1780308928,484,1780308928,484,True,58,1738510,-5
2026-06-01T10:15:59.435341+00:00,2026-06-01T10:15:59.528799+00:00,1780308958,500,1780308958,500,True,93,1768559,-20
2026-06-01T10:16:29.443609+00:00,2026-06-01T10:16:29.478370+00:00,1780308988,508,1780308988,508,True,35,1798509,-28
2026-06-01T10:16:59.454519+00:00,2026-06-01T10:16:59.477093+00:00,1780309018,514,1780309018,514,True,23,1828509,39
2026-06-01T10:17:29.462249+00:00,2026-06-01T10:17:29.477609+00:00,1780309048,523,1780309048,523,True,15,1858509,10
2026-06-01T10:17:59.474550+00:00,2026-06-01T10:17:59.527211+00:00,1780309078,541,1780309078,541,True,53,1888559,73
2026-06-01T10:18:29.482806+00:00,2026-06-01T10:18:29.526881+00:00,1780309108,550,1780309108,550,True,44,1918558,-17
2026-06-01T10:18:59.492553+00:00,2026-06-01T10:18:59.526504+00:00,1780309138,555,1780309138,555,True,34,1948558,-32
2026-06-01T10:19:29.503706+00:00,2026-06-01T10:19:29.525973+00:00,1780309168,566,1780309168,566,True,22,1978558,48
2026-06-01T10:19:59.514562+00:00,2026-06-01T10:19:59.575677+00:00,1780309198,582,1780309198,582,True,61,2008608,27
2026-06-01T10:20:29.520578+00:00,2026-06-01T10:20:29.575261+00:00,1780309228,588,1780309228,588,True,55,2038608,5
2026-06-01T10:20:59.532498+00:00,2026-06-01T10:20:59.575721+00:00,1780309258,598,1780309258,598,True,43,2068607,-11
