timestamp,substrate_temp_c
2026-05-24 00:00:04.450,22.375
2026-05-24 00:00:10.354,22.375
2026-05-24 00:00:16.258,22.375
2026-05-24 00:00:22.164,22.375
2026-05-24 00:00:28.070,22.375
2026-05-24 00:00:33.976,22.375
2026-05-24 00:00:39.883,22.4375
2026-05-24 00:00:45.787,22.4375
2026-05-24 00:00:51.690,22.375
2026-05-24 00:00:57.594,22.4375
2026-05-24 00:01:03.498,22.4375
2026-05-24 00:01:09.403,22.4375
2026-05-24 00:01:15.310,22.375
2026-05-24 00:01:21.216,22.375
2026-05-24 00:01:27.120,22.375
2026-05-24 00:01:33.023,22.375
2026-05-24 00:01:38.930,22.375
2026-05-24 00:01:44.833,22.375
2026-05-24 00:01:50.740,22.375
2026-05-24 00:01:56.643,22.375
2026-05-24 00:02:02.549,22.4375
2026-05-24 00:02:08.456,22.375
2026-05-24 00:02:14.362,22.375
2026-05-24 00:02:20.268,22.375
2026-05-24 00:02:26.173,22.375
2026-05-24 00:02:32.081,22.375
2026-05-24 00:02:37.988,22.375
2026-05-24 00:02:43.892,22.375
2026-05-24 00:02:49.795,22.375
2026-05-24 00:02:55.699,22.4375
2026-05-24 00:03:01.603,22.4375
2026-05-24 00:03:07.507,22.375
2026-05-24 00:03:13.411,22.4375
2026-05-24 00:03:19.316,22.375
2026-05-24 00:03:25.222,22.375
2026-05-24 00:03:31.129,22.375
2026-05-24 00:03:37.035,22.375
2026-05-24 00:03:42.939,22.375
2026-05-24 00:03:48.844,22.4375
2026-05-24 00:03:54.748,22.375
2026-05-24 00:04:00.653,22.375
2026-05-24 00:04:06.557,22.4375
2026-05-24 00:04:12.460,22.4375
2026-05-24 00:04:18.364,22.375
2026-05-24 00:04:24.270,22.375
2026-05-24 00:04:30.176,22.375
2026-05-24 00:04:36.082,22.375
2026-05-24 00:04:41.986,22.375
2026-05-24 00:04:47.892,22.4375
2026-05-24 00:04:53.798,22.4375
2026-05-24 00:04:59.704,22.375
2026-05-24 00:05:05.610,22.375
2026-05-24 00:05:11.516,22.375
2026-05-24 00:05:17.422,22.4375
2026-05-24 00:05:23.326,22.4375
2026-05-24 00:05:29.232,22.375
2026-05-24 00:05:35.138,22.375
2026-05-24 00:05:41.044,22.375
2026-05-24 00:05:46.948,22.375
2026-05-24 00:05:52.852,22.375
2026-05-24 00:05:58.756,22.375
2026-05-24 00:06:04.660,22.4375
2026-05-24 00:06:10.564,22.375
2026-05-24 00:06:16.468,22.375
2026-05-24 00:06:22.372,22.4375
2026-05-24 00:06:28.276,22.375
2026-05-24 00:06:34.182,22.375
2026-05-24 00:06:40.088,22.375
2026-05-24 00:06:45.994,22.375
2026-05-24 00:06:51.898,22.4375
2026-05-24 00:06:57.802,22.375
2026-05-24 00:07:03.708,22.375
2026-05-24 00:07:09.613,22.4375
2026-05-24 00:07:15.519,22.375
2026-05-24 00:07:21.425,22.375
2026-05-24 00:07:27.331,22.375
2026-05-24 00:07:33.237,22.375
2026-05-24 00:07:39.141,22.375
